-3,0,-1
-8,-2,-3
-9,-2,-5
-9,-2,-6
-13,-4,2
-9,6,-4
-10,6,-4
-10,-1,-4
-7,-3,-5
-7,-2,-4
-14,-3,3
-12,-5,1
-10,6,-6
-12,-6,1
-1,-2,-5
-1,6,-7
-8,2,3
-1,5,-8
-13,-2,2
-14,-4,1
-13,-3,3
-12,7,-4
-9,-4,-6
-14,-5,2
-8,-3,-7
-9,0,-7
-9,-3,-3
-7,-5,0
-7,5,-6
-2,2,-4
-7,4,-6
-9,0,0
-8,-6,11
-1,-11,5
1,-9,6
-11,3,-8
6,-6,7
-10,4,-8
-7,-6,1
-7,-5,1
-9,-3,-8
-6,-3,-5
-10,-1,-7
-8,-3,-6
-6,-2,-4
-13,-4,4
-9,-5,-7
-16,-2,3
-16,-2,4
-14,-3,4
-9,-7,10
-15,-4,1
-15,-3,1
-2,7,-6
-14,-3,1
-12,-5,3
-10,0,-8
-9,0,-8
-10,-1,-6
-8,-2,-5
-1,3,-5
-9,-3,-2
-9,1,0
-7,2,-5
-9,3,-7
-12,4,-6
-12,-2,-3
1,-11,2
3,-3,6
-5,0,-1
1,5,-4
1,-10,2
-10,0,1
-7,2,-9
-12,3,-3
-13,5,-1
-15,3,-5
-13,2,-3
-7,-6,0
-8,-2,-7
-17,-3,4
-14,-1,2
-13,-1,2
-10,-7,9
-9,-6,9
-14,-2,3
-13,-2,-4
-12,2,-7
-10,3,-9
-7,-3,-3
-10,-3,-9
-13,3,-6
-13,4,-6
-13,4,-5
-10,-4,-7
-13,4,0
-9,4,-6
-8,-5,11
-10,7,-5
-2,6,-6
0,5,-8
-15,-5,0
-8,-1,-8
-15,-4,2
-3,1,1
-9,-3,-4
-1,-3,6
-1,-11,3
-3,1,-1
-8,2,0
-12,5,-2
-11,3,-4
-9,8,-5
-6,-9,7
5,4,-9
5,5,-9
-8,-7,11
-14,-4,0
0,-8,11
-5,1,1
-6,-8,-1
-11,5,-2
-8,-9,11
6,-7,6
-14,-2,4
4,5,-10
5,3,-10
6,3,-8
6,5,-9
-15,-3,2
-15,-1,2
-15,-1,3
4,6,-9
4,6,-8
0,-7,12
1,-8,12
-8,-2,-6
-7,-4,-7
-16,-4,-1
-1,-10,2
0,-10,2
-9,-2,-7
-9,-1,-8
-9,-8,9
-9,-10,12
-9,-9,11
-8,-10,10
-10,-6,-8
-10,-6,-6
-9,-5,-8
-8,-4,-7
-7,-8,10
-9,-6,10
-8,-6,8
-13,-2,-2
-12,4,-9
-11,2,-8
-8,-5,-5
-14,6,-2
-13,6,0
-12,6,0
-15,-3,0
-11,7,-5
-11,-6,2
-10,0,-7
-10,-5,-7
-10,-3,-8
-14,-2,0
-16,3,-3
