-4,-4,4
-1,-4,0
-3,-3,5
-1,-9,1
-6,-2,-1
-3,-6,-1
1,-6,11
0,-5,10
2,-6,-4
1,-7,12
1,-5,-1
1,-2,11
-7,-2,-3
-7,-2,-5
1,-2,7
-7,-5,4
-9,-3,5
-5,-7,-2
-1,2,-5
-4,-2,-2
-2,-9,4
-8,-6,4
1,-8,11
-1,-9,2
0,-7,10
0,-7,11
1,-7,10
-4,-3,4
-8,-4,0
0,-1,7
-8,-2,6
-8,-3,-2
-6,-2,-2
-11,-2,7
-9,-4,7
-9,-2,6
2,-7,12
-8,-3,1
-6,-2,-6
0,-9,1
-8,-9,4
-9,-1,-8
-12,-2,7
-10,-2,8
-2,-10,2
0,-9,11
-6,-3,-2
2,-6,12
1,-2,10
0,-6,9
-9,-3,0
-9,-2,4
-6,-1,-7
-6,-1,-2
4,4,-3
-6,0,-8
-1,-6,8
-4,-8,7
-10,-4,-8
-1,-12,-2
3,-6,-7
-5,-6,6
-6,-1,2
-3,-10,3
-11,-5,-7
2,-13,6
-11,-7,9
2,-6,-7
-8,-1,-9
-8,-1,-8
-7,1,-8
-10,-6,-7
2,-6,13
1,-9,10
-13,-1,7
-12,-3,7
-11,-1,7
